row_number,wals_code,iso_code,glottocode,name,genus,family,macroarea,latitude,longitude
107,ane,anz,anem1249,Anêm,Anêm,Anêm,Papunesia,-5.58333333333,149.083333333
108,ang,agg,ango1254,Anggor,Senagi,Senagi,Papunesia,-3.75,141.166666667
109,ani,hnh,anii1246,//Ani,Khoe-Kwadi,Khoe-Kwadi,Africa,-18.9166666667,21.9166666667
110,anj,aty,anei1239,Anejom,Oceanic,Austronesian,Papunesia,-20.2,169.8
111,anl,apc,nort3139,Arabic (North Levantine Spoken),Semitic,Afro-Asiatic,Eurasia,33.75,36.0
112,ann,aoi,anin1240,Anindilyakwa,Anindilyakwa,Gunwinyguan,Australia,-14.0,136.5
113,ano,nun,nung1282,Anong,Nungish,Sino-Tibetan,Eurasia,27.3333333333,98.75
114,ant,agm,anga1290,Angaatiha,Angan,Trans-New Guinea,Papunesia,-7.21666666667,146.25
115,anu,cko,anuf1239,Anufo,Kwa,Niger-Congo,Africa,10.0833333333,0.25
116,anx,ani,andi1255,Andi,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.75,46.25
117,any,anu,anua1242,Anywa,Nilotic,Eastern Sudanic,Africa,8.0,33.5
118,ao,njo,aona1235,Ao,Kuki-Chin,Sino-Tibetan,Eurasia,26.5833333333,94.6666666667
119,aoj,aoj,mufi1238,Mufian,Kombio-Arapesh,Torricelli,Papunesia,-3.5,143.0
120,apa,ajp,sout3123,Arabic (Palestinian),Semitic,Afro-Asiatic,Eurasia,32.0,35.25
121,apc,apm,mesc1238,Apache (Chiricahua),Athapaskan,Na-Dene,North America,33.25,-108.0
122,ape,apz,safe1240,Ampeeli,Angan,Trans-New Guinea,Papunesia,-6.75,146.083333333
123,api,apn,apin1244,Apinayé,Ge-Kaingang,Macro-Ge,South America,-5.5,-48.0
124,apj,apj,jica1244,Apache (Jicarilla),Athapaskan,Na-Dene,North America,36.5833333333,-104.0
125,apk,apq,apuc1241,A-Pucikwar,Great Andamanese,Great Andamanese,Eurasia,12.1666666667,92.8333333333
126,apl,apy,apal1257,Apalaí,Cariban,Cariban,South America,0.0,-54.0
127,apt,apt,apat1240,Apatani,Tani,Sino-Tibetan,Eurasia,27.5,93.75
128,apu,apu,apur1254,Apurinã,Purus,Arawakan,South America,-9.0,-67.0
129,apw,apw,west2615,Apache (Western),Athapaskan,Na-Dene,North America,33.75,-110.0
130,ara,arw,araw1276,Arawak,Caribbean Arawakan,Arawakan,South America,5.5,-55.1666666667
131,arb,arl,arab1268,Arabela,Zaparoan,Zaparoan,South America,-2.0,-75.1666666667
132,arc,aqc,arch1244,Archi,Lezgic,Nakh-Daghestanian,Eurasia,42.0,46.8333333333
133,ard,jbj,aran1237,Arandai,South Bird's Head,Marind,Papunesia,-2.08333333333,133.0
134,arg,afb,gulf1241,Arabic (Gulf),Semitic,Afro-Asiatic,Eurasia,26.0,49.0
135,arh,acw,hija1235,Arabic (Hijazi),Semitic,Afro-Asiatic,Eurasia,26.0,38.0
136,ari,laz,arib1241,Aribwatsa,Oceanic,Austronesian,Papunesia,-6.71666666667,147.0
137,arj,afb,gulf1241,Arabic (Kuwaiti),Semitic,Afro-Asiatic,Eurasia,29.5,47.5
138,ark,akr,arak1252,Araki,Oceanic,Austronesian,Papunesia,-15.6666666667,166.916666667
139,arl,apc,nort3139,Arabic (Lebanese),Semitic,Afro-Asiatic,Eurasia,34.0,36.0
140,arm,hye,nucl1235,Armenian (Eastern),Armenian,Indo-European,Eurasia,40.0,45.0
141,arn,shu,chad1249,Arabic (Borno Nigerian),Semitic,Afro-Asiatic,Africa,8.58333333333,12.4166666667
142,aro,aia,aros1241,Arosi,Oceanic,Austronesian,Papunesia,-10.25,161.333333333
143,arp,ape,buki1249,Arapesh (Mountain),Kombio-Arapesh,Torricelli,Papunesia,-3.46666666667,143.166666667
144,arq,acm,meso1252,Arabic (Iraqi),Semitic,Afro-Asiatic,Eurasia,33.0,44.0
145,arr,aer,east2379,Arrernte,Central Pama-Nyungan,Pama-Nyungan,Australia,-24.0,134.0
146,ars,ayn,sana1295,Arabic (San'ani),Semitic,Afro-Asiatic,Eurasia,16.0,44.0
147,arv,ajp,sout3123,Arabic (Negev),Semitic,Afro-Asiatic,Eurasia,30.5,34.75
148,arw,hye,nucl1235,Armenian (Western),Armenian,Indo-European,Eurasia,38.5,43.5
149,arx,alu,area1240,'Are'are,Oceanic,Austronesian,Papunesia,-9.25,161.166666667
150,arz,hye,nucl1235,Armenian (Iranian),Armenian,Indo-European,Eurasia,32.6666666667,51.6666666667
151,ash,ady,adyg1241,Adyghe (Shapsugh),Northwest Caucasian,Northwest Caucasian,Eurasia,45.0,38.75
152,asl,ase,amer1248,American Sign Language,Sign Languages,other,North America,39.0,-78.0
153,asm,tml,tamn1235,Asmat,Asmat-Kamoro,Trans-New Guinea,Papunesia,-5.5,138.5
154,aso,alt,sout2694,Altai (Southern),Turkic,Altaic,Eurasia,51.0,87.0
155,ass,asm,assa1263,Assamese,Indic,Indo-European,Eurasia,26.0,93.0
156,ast,ast,astu1245,Asturian,Romance,Indo-European,Eurasia,43.25,-6.0
157,asu,asu,toca1235,Asuriní,Tupi-Guaraní,Tupian,South America,-3.5,-49.5
158,asy,apc,nort3139,Arabic (Syrian),Semitic,Afro-Asiatic,Eurasia,34.0,38.0
159,ata,tay,atay1247,Atayal,Atayalic,Austronesian,Papunesia,24.5,121.333333333
160,atb,atq,aral1243,Aralle-Tabulahan,South Sulawesi,Austronesian,Papunesia,-2.75,119.25
161,atc,upv,urip1239,Atchin,Oceanic,Austronesian,Papunesia,-16.0,167.333333333
162,ath,aph,athp1241,Athpare,Mahakiranti,Sino-Tibetan,Eurasia,27.0,87.3333333333
163,ati,atj,atik1240,Atikamekw,Algonquian,Algic,North America,48.0,-74.0
164,atk,aqp,atak1252,Atakapa,Atakapa,Atakapa,North America,30.0,-93.5
165,atm,kuz,kunz1244,Atacameño,Kunza,Kunza,South America,-23.0,-69.0
166,atq,ems,paci1278,Alutiiq,Eskimo,Eskimo-Aleut,North America,57.0,-157.0
167,ats,atw,atsu1245,Atsugewi,Palaihnihan,Hokan,North America,40.75,-121.0
168,atu,aeb,tuni1259,Arabic (Tunisian),Semitic,Afro-Asiatic,Africa,36.75,10.25
169,au,avt,auuu1241,Au,Wapei-Palei,Torricelli,Papunesia,-3.58333333333,142.083333333
170,aul,aul,aulu1238,Aulua,Oceanic,Austronesian,Papunesia,-16.3333333333,167.666666667
171,aus,asf,aust1271,Auslan,Sign Languages,other,Australia,-30.0,145.0
172,auy,auy,awiy1238,Auyana,Eastern Highlands,Trans-New Guinea,Papunesia,-6.5,145.75
173,ava,ava,avar1256,Avar,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.5,46.5
174,avk,avi,avik1243,Avikam,Kwa,Niger-Congo,Africa,5.16666666667,-5.5
175,avo,avu,avok1242,Avokaya,Moru-Ma'di,Central Sudanic,Africa,4.66666666667,30.0
176,avt,avn,avat1244,Avatime,Kwa,Niger-Congo,Africa,6.83333333333,0.416666666667
177,awa,awb,awap1236,Awa,Eastern Highlands,Trans-New Guinea,Papunesia,-6.66666666667,145.75
178,awd,awa,awad1243,Awadhi,Indic,Indo-European,Eurasia,27.5,81.5
179,awe,are,west2441,Arrernte (Western),Central Pama-Nyungan,Pama-Nyungan,Australia,-24.0,132.5
180,awi,awi,aeky1238,Aekyom,Awin-Pare,Awin-Pare,Papunesia,-5.75,141.416666667
181,awk,png,pong1250,Akwa,Kainji,Niger-Congo,Africa,10.0833333333,6.33333333333
182,awn,awn,awng1244,Awngi,Central Cushitic,Afro-Asiatic,Africa,10.8333333333,36.6666666667
183,awp,kwi,awac1239,Awa Pit,Barbacoan,Barbacoan,South America,1.5,-78.25
184,awt,kmn,awtu1239,Awtuw,Ram,Sepik,Papunesia,-3.58333333333,142.0
185,awy,auw,awyi1241,Awyi,Border,Border,Papunesia,-2.91666666667,140.583333333
186,axv,akv,akhv1239,Akhvakh,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,42.3333333333,46.3333333333
187,ayi,any,anyi1245,Anyi,Kwa,Niger-Congo,Africa,7.0,-3.5
188,aym,ayc,cent2142,Aymara (Central),Aymaran,Aymaran,South America,-17.0,-69.0
189,ayn,aib,ainu1251,Aynu,Turkic,Altaic,Eurasia,39.5,76.0
190,ayo,,,Ayomán,Jirajaran,Jirajaran,,11.0,-69.0
191,ayr,ayo,ayor1240,Ayoreo,Zamucoan,Zamucoan,South America,-20.25,-59.25
192,ayw,nfl,ayiw1239,Ayiwo,Oceanic,Austronesian,Papunesia,-10.3333333333,166.25
193,aze,azb,nort2697,Azerbaijani,Turkic,Altaic,Eurasia,40.5,48.5
194,azi,azb,sout2697,Azari (Iranian),Turkic,Altaic,Eurasia,37.5,47.0
195,baa,nvm,bara1377,Barai,Koiarian,Trans-New Guinea,Papunesia,-9.33333333333,148.083333333
196,bab,bav,veng1238,Babungo,Bantoid,Niger-Congo,Africa,6.11666666667,10.4166666667
197,bac,wdj,wadj1254,Bachamal,Anson Bay,Anson Bay,Australia,-13.1666666667,130.166666667
198,bad,bde,bade1248,Bade,West Chadic,Afro-Asiatic,Africa,12.8333333333,10.5
199,bae,bae,bare1276,Baré,Inland Northern Arawakan,Arawakan,South America,1.0,-67.0
200,baf,bfd,bafu1246,Bafut,Bantoid,Niger-Congo,Africa,6.25,9.91666666667
201,bag,bmi,bagi1246,Bagirmi,Bongo-Bagirmi,Central Sudanic,Africa,11.6666666667,16.0
